cz,czname,state,lat,lon,c1980_85,am,rm,amfemale,rmfemale,ammale,rmmale,fracblack,racseg,incseg,segpov25,segafl75,fraccom15,hipc,gini,incsh1,ginibot99,frac2575,loctr,locgexp,schexp,tsr,tsperc,hsdrop,colpc,coltui,colgrad,lfpr,manshare,chimp,tlfpr,migirate,migorate,fracfor,scind,fracrel,crimer,fracsm,fracdiv,fracmar,incgrth
5800,Dickson,TN,36.12690887173586,-87.96410730393602,10733.0,39.72225,0.36409,40.48075,0.39467,38.96225,0.33189,0.0624765,0.0833239,0.020736,0.0170801,0.0240591,0.330303,31373.98,0.42832,11.897,0.30935,0.55928,0.0166566,2132.371,4.4407611,,2.488648,-0.0133664,0.0072353,7860.0,0.0863816,0.6034202,0.2596578,3.838941,0.0035588,0.0175020982,0.0169377478,0.0088655,-0.84479362,0.5395841,0.0018273,0.205591,0.1160912,0.6083897,-0.0053142
5900,Clarksville,TN,36.64951034363555,-87.45459164120788,17974.0,39.1895,0.34194,40.5,0.35604,37.901,0.3296,0.1788946,0.1333275,0.0561459,0.0544716,0.0523277,0.3189429,28961.91,0.38272,9.751,0.28521,0.60451,0.016344,1702.63,5.2979356,17.253008,-0.632576,-0.0042348,0.023804,2147.15,-0.0435523,0.6727977,0.1933247,2.667976,0.0033041,0.0458543436,0.0427677647,0.0329669,-1.8281626,0.4802368,0.0018805,0.2033385,0.1010347,0.6082392,-0.0030813
6000,Huntsville,AL,34.70348387155005,-86.75692055685352,39148.0,38.46875,0.36263,39.95825,0.38245,37.00625,0.34293,0.1743591,0.2253229,0.0889056,0.0813636,0.0978788,0.2862431,37729.73,0.44301,10.571,0.3373,0.48205,0.0145424,2946.813,5.1402501,16.47658,-7.678567,-0.0063345,0.0115477,2761.08,-0.1470144,0.647024,0.2280494,2.479047,0.0036155,0.0183762748,0.0143441952,0.0299855,-1.0291858,0.5588424,0.001501,0.2040042,0.1076893,0.5951259,-0.0043037
6100,Gadsden,AL,34.31633122092202,-86.03740861495905,22850.0,41.1705,0.36822,42.441,0.36352,39.914,0.37128,0.0637357,0.2651467,0.0310089,0.0283452,0.0316982,0.3278927,30841.69,0.4407,10.908,0.33162,0.52874,0.0138159,1756.967,4.591274,17.560935,-7.767475,0.0090095,0.0098662,1449.49,-0.0541557,0.596471,0.2957288,2.006694,0.00378,0.0109942513,0.0123229015,0.0263631,-1.0239497,0.6204599,0.0016171,0.1975998,0.1098281,0.6105398,-0.0118726
6200,Florence,AL,34.865549681234675,-87.638984869435,17174.0,41.46725,0.36069,42.116,0.39692,40.83775,0.32455,0.0898758,0.195868,0.037123,0.0386353,0.0366078,0.3300049,31580.87,0.44803,11.773,0.3303,0.52848,0.0133791,2708.267,4.8619576,16.638286,-3.31517,-0.0069056,0.0129903,1919.45,-0.1048195,0.5749623,0.2562524,1.348251,0.003058,0.0081882386,0.0089806487,0.0150724,-0.83364838,0.6086879,0.0009093,0.1963332,0.1023405,0.6114683,-0.0093346
6301,McMinnville,TN,35.816754775453745,-85.69851626662793,6142.0,39.344,0.36504,40.87325,0.37785,37.79325,0.35037,0.021694,0.0635268,0.0110214,0.0100105,0.0092458,0.3667996,29411.43,0.42554,11.163,0.31391,0.56046,0.0144341,1878.804,4.0851313,,-1.519425,-0.0152349,,,,0.6139053,0.3183326,4.638886,0.0033561,0.0138419386,0.0150399127,0.0238956,-1.4120484,0.5412708,0.002645,0.1983959,0.1225584,0.6047828,-0.0167635
6302,Cookeville,TN,36.243014848999444,-85.45306387757984,6616.0,41.246,0.3074,43.33525,0.34477,39.15675,0.27643,0.0113255,0.083495,0.0276881,0.0270631,0.0288081,0.3799828,28510.27,0.45464,11.752,0.33712,0.55379,0.0165271,1838.909,5.8422506,,2.410126,-0.026804,0.0203331,2222.0,0.1908386,0.6036718,0.2556426,2.682711,0.0035879,0.0160021146,0.0152701246,0.0248218,-1.3262552,0.5039446,0.0014233,0.1779069,0.1074232,0.5768132,-0.0090337
6401,Chattanooga,TN,35.0496508013064,-85.28150570846135,35934.0,37.94875,0.36171,39.2565,0.37454,36.66175,0.34731,0.1344347,0.3354933,0.0751186,0.0730677,0.0778065,0.2560983,35727.89,0.50158,14.485,0.35673,0.50807,0.0170621,2821.395,4.8253305,18.137119,-7.887956,0.0259792,0.0142606,4482.03,-0.0551855,0.6356791,0.1987081,1.113729,0.00396,0.0145335868,0.0136942487,0.0231095,-0.40881035,0.518442,0.0027136,0.2283894,0.1171966,0.5716882,-0.0073118
6402,Crossville,TN,35.87948639400369,-84.99165098656167,6834.0,40.567,0.34848,41.833,0.35796,39.32,0.34208,0.0104996,0.0760119,0.0221304,0.026177,0.0174383,0.338294,29332.51,0.42626,10.83,0.31796,0.51546,0.0193378,1364.514,4.4176419,,0.4093919,-0.0036557,0.0095975,11700.0,0.1857858,0.5451012,0.2688191,2.235503,0.0036377,0.014626562,0.0116993301,0.0137218,-1.023776,0.4337966,0.0014588,0.1971794,0.1123038,0.6322641,-0.0070348
6501,Ellijay,GA,34.79296738419619,-84.37639016621253,2670.0,40.678,0.27608,41.37875,0.31035,40.02975,0.24435,0.0016877,0.1101119,0.008562,0.0061746,0.0110754,0.2920968,31235.46,0.40253,7.137,0.33116,0.51815,0.0184406,1555.961,5.1932599,16.982926,-3.837342,0.0208401,,,,0.5676944,0.2543432,0.5973786,0.0041342,0.0230498913,0.0168770518,0.0364409,-1.1899604,0.5177094,0.0008554,0.1576098,0.1102795,0.6321846,0.0028372
6502,Cleveland,TN,35.30367760441917,-84.67038030703694,14253.0,39.1795,0.3451,40.01975,0.36759,38.3535,0.32246,0.0329185,0.0746073,0.0356632,0.0349443,0.0360154,0.3426816,30498.56,0.41775,9.445,0.3233,0.55387,0.0166462,2213.473,4.2507268,,-4.013262,-0.0135378,0.019697,5002.3,-0.0133304,0.611321,0.3238671,4.575359,0.0038569,0.0141128734,0.0124878741,0.015894,-0.64316472,0.6272104,0.002078,0.1836952,0.1145339,0.6205983,-0.0076892
6600,Rome,GA,34.41196438735376,-85.06098787412648,30979.0,37.42175,0.35703,38.3525,0.35942,36.52125,0.35449,0.0778142,0.181216,0.033903,0.0320616,0.0329464,0.3009139,31876.89,0.49056,16.237,0.32819,0.53878,0.0246539,2609.598,5.3244335,16.332649,-4.992054,0.0347992,0.011953,5002.06,-0.1087821,0.63419,0.339703,1.604705,0.0034706,0.0147046167,0.0131100826,0.066078,-1.6828302,0.5244654,0.0012194,0.1801528,0.108289,0.6044821,-0.0169097
6700,Tampa,FL,28.00401150686595,-82.55700891610618,135603.0,39.1325,0.33546,41.19575,0.34495,37.09975,0.32659,0.0990765,0.2317798,0.0802947,0.0627255,0.0972603,0.2642139,42194.87,0.53418,15.27,0.38148,0.50694,0.0216414,2379.856,6.2278018,18.269956,-2.51364,-0.0010604,0.0087646,6791.45,0.0257131,0.5921527,0.0825207,0.6216088,0.0041586,0.0411452936,0.0245058738,0.0976245,-1.0401171,0.3786031,,0.251904,0.1253249,0.5368412,-0.0124996
6800,Lakeland,FL,27.897809220460438,-81.7145643820617,41237.0,39.42275,0.34039,40.33325,0.35517,38.5245,0.32514,0.1247585,0.1712883,0.0534333,0.0497998,0.0552001,0.2888854,36101.73,0.47654,12.185,0.35469,0.51264,0.0163567,2264.725,5.5694132,18.44986,-7.088095,0.0246154,0.0150444,6000.84,0.0580713,0.5555338,0.0855685,0.3832761,0.0034789,0.0481405083,0.0254635356,0.0774182,-1.7296807,0.4220297,,0.240075,0.1068637,0.5796941,-0.0135146
6900,Sarasota,FL,27.23810585011925,-82.38209451332725,38552.0,39.22875,0.30435,41.66625,0.30145,36.805,0.30728,0.0581478,0.2138762,0.0670332,0.0513505,0.0816952,0.3185522,52946.79,0.54064,17.696,0.36368,0.51885,0.0184313,2477.75,6.456885,18.905424,-1.082141,0.0039889,0.0039278,4013.37,-0.029855,0.5041241,0.0776059,0.6238203,0.0050477,0.0428727604,0.0228922682,0.0917644,-0.53302715,0.4032456,,0.229526,0.1097937,0.6015052,-0.0126501
7000,Miami,FL,25.887066126196796,-80.22065787585052,236349.0,41.452,0.26672,43.64475,0.27291,39.11175,0.26271,0.1911066,0.330481,0.1052385,0.0883246,0.1199379,0.1978954,38110.36,0.63218,18.867,0.44351,0.43189,0.0274785,3154.639,6.8953883,21.256389,-6.99948,0.0057197,0.0091002,7491.22,0.038823,0.597902,0.067617,0.8871079,0.0030114,0.0217746903,0.0274885875,0.3968422,-2.1414285,0.4197457,,0.2576536,0.1172359,0.5016344,-0.0129565
7100,Port St. Lucie,FL,26.79095586822721,-80.2528166571961,87119.0,38.99625,0.30329,41.17625,0.30897,36.7805,0.29898,0.1286175,0.2479631,0.1024742,0.0815084,0.1222393,0.2603363,55175.25,0.61041,20.816,0.40225,0.46605,0.0268987,2839.394,6.8519079,19.368591,-5.311319,-0.0081234,0.007174,5061.67,-0.0597412,0.5489249,0.0639882,0.4750145,0.0040451,0.0468543135,0.0302151038,0.1572244,-1.4330216,0.5158997,,0.2264943,0.1072909,0.5691419,-0.0200907
